"-51.0384984, -29.9082136"
"-51.0672836, -29.9498769"
"-51.0170304, -29.9227709"
"-51.0384421, -29.9508074"
"-51.0817487, -29.9859278"
"-51.0768406, -29.9280439"
"-51.0621160, -29.9707119"
"-51.0468176, -29.9484515"
"-51.0565488, -29.9322047"
"-51.0834021, -29.9191377"
"-51.0297704, -29.9300328"
"-51.0485451, -29.9338406"
"-51.0756437, -29.9448655"
"-51.0876482, -29.9103681"
"-51.0593331, -29.9395437"
"-51.0577401, -29.9670976"
"-51.0239353, -29.9721299"
"-51.0445786, -29.9352054"
"-51.0682853, -29.9239317"
"-51.0196594, -29.9281887"
"-51.0775224, -29.9672780"
"-51.0795043, -29.9130200"
"-51.0805483, -29.9110832"
"-51.0297851, -29.9530516"
"-51.0514800, -29.9740539"
"-51.0685985, -29.9486568"
"-51.0437516, -29.9759105"
"-51.0483325, -29.9610581"
"-51.0974785, -29.9703548"
"-51.0416641, -29.9281467"
"-51.0312115, -29.9632196"
"-51.0759607, -29.9762015"
"-51.0350786, -29.9100800"
"-51.0142576, -29.9475768"
"-51.0316985, -29.9340726"
"-51.0350117, -29.9357184"
"-51.0722137, -29.9570960"
"-51.0839463, -29.9300381"
"-51.0731645, -29.9858929"
"-51.0109670, -29.9628549"
"-51.0445383, -29.9319049"
"-51.0778517, -29.9448007"
"-51.0585032, -29.9891150"
"-51.0225770, -29.9158131"
"-51.0818398, -29.9390864"
"-51.0795981, -29.9852485"
"-51.0295630, -29.9538897"
"-51.0669029, -29.9610541"
"-51.0879909, -29.9620782"
"-51.0738646, -29.9272295"
"-51.0349840, -29.9127492"
"-51.0708442, -29.9865311"
"-51.0310514, -29.9297030"
"-51.0417176, -29.9492068"
"-51.0699961, -29.9090738"
"-51.0743300, -29.9611549"
"-51.0651533, -29.9235326"
"-51.0294736, -29.9508508"
"-51.0256908, -29.9402704"
"-51.1013941, -29.9598503"
"-51.0309617, -29.9696812"
"-51.0690074, -29.9105733"
"-51.0759395, -29.9697036"
"-51.0559183, -29.9313858"
"-51.0689434, -29.9486662"
"-51.0421135, -29.9564115"
"-51.0251088, -29.9408927"
